# lag   C(lag)   C_norm(lag)
     413  -6.708832721739E+00  -1.749936821554E-02
     414  -2.258549528669E+00  -5.891217067786E-03
     415   3.690117303889E+00   9.625328896643E-03
     416   9.560094330595E+00   2.493661979741E-02
     417   1.340740075175E+01   3.497196193431E-02
     418   1.386289093242E+01   3.616006584458E-02
     419   1.081618001607E+01   2.821300286315E-02
     420   5.324272039780E+00   1.388787003169E-02
     421  -1.101571562104E+00  -2.873347299086E-03
     422  -7.188544491531E+00  -1.875065189560E-02
     423  -1.213067224522E+01  -3.164173398352E-02
     424  -1.540529883773E+01  -4.018329387740E-02
     425  -1.656514680740E+01  -4.320864978314E-02
     426  -1.535213805626E+01  -4.004462890717E-02
     427  -1.207598833396E+01  -3.149909607044E-02
     428  -7.793714952394E+00  -2.032918294072E-02
     429  -3.816979353122E+00  -9.956236791382E-03
     430  -8.577467733341E-01  -2.237352941240E-03
     431   1.275826551597E+00   3.327875284954E-03
     432   3.074787013496E+00   8.020296878054E-03
     433   4.595691941384E+00   1.198743638769E-02
     434   5.325450289215E+00   1.389094338611E-02
     435   4.527060417783E+00   1.180841742083E-02
     436   1.766698431055E+00   4.608269076478E-03
     437  -2.749732574057E+00  -7.172422506791E-03
     438  -8.304773771863E+00  -2.166223249385E-02
     439  -1.394373611688E+01  -3.637094301353E-02
     440  -1.844964136797E+01  -4.812417914321E-02
     441  -2.043156048182E+01  -5.329383141885E-02
     442  -1.902997210543E+01  -4.963791807261E-02
     443  -1.458671212983E+01  -3.804808633654E-02
     444  -8.479208096476E+00  -2.211722825875E-02
     445  -2.382115423493E+00  -6.213527249316E-03
     446   2.374345758106E+00   6.193260797437E-03
     447   5.169051978826E+00   1.348299289229E-02
     448   6.227834691612E+00   1.624472944465E-02
     449   6.399336165318E+00   1.669207513985E-02
     450   6.571975674936E+00   1.714238929623E-02
     451   7.153661330991E+00   1.865966240516E-02
     452   7.960816989425E+00   2.076505311320E-02
     453   8.371550055233E+00   2.183641223855E-02
     454   7.614235579462E+00   1.986102763498E-02
     455   5.177048309633E+00   1.350385057990E-02
     456   1.205138803470E+00   3.143492847039E-03
     457  -3.370433288855E+00  -8.791462779581E-03
     458  -7.226376374696E+00  -1.884933285565E-02
     459  -9.449747628316E+00  -2.464879065415E-02
     460  -1.004969011507E+01  -2.621368501348E-02
     461  -9.655215811899E+00  -2.518473536320E-02
     462  -8.821308968161E+00  -2.300956666824E-02
     463  -7.788896472878E+00  -2.031661438360E-02
     464  -6.779203225699E+00  -1.768292315146E-02
     465  -6.148393113534E+00  -1.603751345283E-02
     466  -6.058325567615E+00  -1.580258060896E-02
     467  -6.148079040786E+00  -1.603669422318E-02
     468  -5.751724758824E+00  -1.500284082252E-02
     469  -4.401759080972E+00  -1.148158049976E-02
     470  -2.028466993245E+00  -5.291068103822E-03
     471   1.101641268568E+00   2.873529121936E-03
     472   4.490527912167E+00   1.171312576666E-02
     473   7.702680153640E+00   2.009172710751E-02
     474   1.062628147221E+01   2.771767011595E-02
     475   1.329298314592E+01   3.467351421652E-02
     476   1.548061449164E+01   4.037974777853E-02
     477   1.658306099716E+01   4.325537728639E-02
     478   1.592666999442E+01   4.154324220615E-02
     479   1.333428839429E+01   3.478125512771E-02
     480   9.432034750726E+00   2.460258825502E-02
     481   5.308590189202E+00   1.384696537823E-02
     482   1.841535704976E+00   4.803475167748E-03
     483  -5.601173009501E-01  -1.461014054123E-03
     484  -1.705782517817E+00  -4.449375563977E-03
     485  -1.509154677593E+00  -3.936490071043E-03
     486  -2.523972750408E-01  -6.583548935759E-04
     487   1.243460607331E+00   3.243451719805E-03
     488   1.884934517411E+00   4.916676946719E-03
     489   8.548237183769E-01   2.229728423364E-03
     490  -1.958517807562E+00  -5.108612137574E-03
     491  -5.990382297229E+00  -1.562535688681E-02
     492  -1.039369630381E+01  -2.711099326587E-02
     493  -1.438180517661E+01  -3.751360554487E-02
     494  -1.727128559008E+01  -4.505054733549E-02
     495  -1.829752130575E+01  -4.772738806312E-02
     496  -1.648090163805E+01  -4.298890406879E-02
     497  -1.102802066257E+01  -2.876556955095E-02
     498  -2.268439731180E+00  -5.917014744170E-03
     499   7.874761007189E+00   2.054058406132E-02
     500   1.656852303151E+01   4.321745635073E-02
     501   2.132780259105E+01   5.563159587506E-02
     502   2.098412645024E+01   5.473514852211E-02
     503   1.602512702381E+01   4.180005823991E-02
     504   8.297471166207E+00   2.164318432398E-02
     505   2.439746972400E-01   6.363853801935E-04
     506  -5.955953295768E+00  -1.553555202822E-02
     507  -9.053851631433E+00  -2.361613264763E-02
     508  -8.977247321523E+00  -2.341631740680E-02
     509  -6.554252054481E+00  -1.709615887533E-02
     510  -3.047180166919E+00  -7.948286978036E-03
     511   1.667444863311E-01   4.349375346271E-04
     512   1.915126006558E+00   4.995428647272E-03
     513   1.683504080853E+00   4.391264326468E-03
     514  -1.368083984373E-01  -3.568520245670E-04
     515  -2.587447307110E+00  -6.749116432538E-03
     516  -4.839701611999E+00  -1.262391299269E-02
     517  -6.605640539177E+00  -1.723020097371E-02
     518  -7.977057628303E+00  -2.080741531414E-02
     519  -8.983726964855E+00  -2.343321895574E-02
     520  -9.415169273941E+00  -2.455859622233E-02
     521  -9.102638616558E+00  -2.374338897555E-02
     522  -8.329086054208E+00  -2.172564882849E-02
     523  -7.836137283752E+00  -2.043983765933E-02
     524  -8.242127755467E+00  -2.149882616764E-02
     525  -9.403272562752E+00  -2.452756475408E-02
     526  -1.048084727850E+01  -2.733831850407E-02
     527  -1.060992499165E+01  -2.767500575272E-02
     528  -9.419818141229E+00  -2.457072236168E-02
     529  -6.934027525368E+00  -1.808676798423E-02
     530  -3.261442185096E+00  -8.507169589392E-03
     531   1.321435146578E+00   3.446841076839E-03
     532   6.095371556056E+00   1.589921163548E-02
     533   9.984156270675E+00   2.604274605565E-02
     534   1.204263303763E+01   3.141209187216E-02
     535   1.180876600824E+01   3.080207140653E-02
     536   9.247894264387E+00   2.412227486706E-02
     537   4.673485465648E+00   1.219035358392E-02
     538  -1.083712176356E+00  -2.826762747009E-03
     539  -6.643843561658E+00  -1.732985001626E-02
     540  -1.056890758253E+01  -2.756801564352E-02
     541  -1.214407556337E+01  -3.167669529637E-02
     542  -1.177186651568E+01  -3.070582250092E-02
     543  -1.063986093875E+01  -2.775309089554E-02
     544  -9.965383205250E+00  -2.599377825484E-02
     545  -1.031055995694E+01  -2.689413981218E-02
     546  -1.141775255853E+01  -2.978214907166E-02
     547  -1.256428772568E+01  -3.277277976620E-02
     548  -1.290336888148E+01  -3.365724152673E-02
     549  -1.162537498245E+01  -3.032371291693E-02
     550  -8.274541921830E+00  -2.158337551566E-02
     551  -3.137995279650E+00  -8.185169780625E-03
     552   2.738701584139E+00   7.143649192215E-03
     553   7.966682390271E+00   2.078035246756E-02
     554   1.135578749126E+01   2.962051893813E-02
     555   1.230915762779E+01   3.210729655755E-02
     556   1.101605303739E+01   2.873435311014E-02
     557   8.397253911406E+00   2.190345836452E-02
     558   5.654892027589E+00   1.475026161992E-02
     559   3.621119996602E+00   9.445355816950E-03
     560   2.384750306908E+00   6.220400098440E-03
     561   1.419342640301E+00   3.702223697747E-03
     562   9.900283513685E-02   2.582397174443E-04
     563  -1.698757819277E+00  -4.431052289056E-03
